"","track.name","track.popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.duration_ms","track.explicit","playlist_name"
"132","Wish You Well",67,0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.975,205653,FALSE,"Top Hits of 2019"
"133","Walk Me Home",69,0.652,0.453,1,-6.119,1,0.0445,0.0507,0,0.179,0.432,88.039,177390,FALSE,"Top Hits of 2019"
"134","Outnumbered",70,0.614,0.684,0,-5.79,1,0.157,0.247,0,0.0976,0.258,156.85,245699,FALSE,"Top Hits of 2019"
"135","bury a friend",78,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,FALSE,"Top Hits of 2019"
"136","All Day And Night",61,0.585,0.782,1,-4.101,0,0.0897,0.269,0,0.156,0.521,121.908,169303,FALSE,"Top Hits of 2019"
"137","SICKO MODE",85,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,TRUE,"Top Hits of 2019"
"138","Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)",71,0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985,199427,TRUE,"Top Hits of 2019"
"139","Swervin (feat. 6ix9ine)",78,0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,189486,TRUE,"Top Hits of 2019"
"140","Con Calma",78,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193226,FALSE,"Top Hits of 2019"
"141","Strike a Pose (feat. Aitch)",63,0.531,0.581,1,-5.801,1,0.101,0.0107,1.62e-05,0.101,0.591,137.776,214203,TRUE,"Top Hits of 2019"
"142","Don’t Feel Like Crying",54,0.749,0.814,5,-3.769,0,0.0404,0.156,0,0.0673,0.715,119.964,157010,FALSE,"Top Hits of 2019"
"143","MIA (feat. Drake)",77,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210367,FALSE,"Top Hits of 2019"
"144","My Type",74,0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,126446,TRUE,"Top Hits of 2019"
"145","Options",55,0.836,0.621,1,-4.684,0,0.0894,0.389,9.16e-05,0.104,0.762,101.993,240081,TRUE,"Top Hits of 2019"
"146","Pop Out (feat. Lil Tjay)",80,0.772,0.639,1,-7.119,1,0.467,0.15,0,0.0698,0.261,168.112,166560,TRUE,"Top Hits of 2019"
"147","Ladbroke Grove",69,0.903,0.839,11,-9.447,0,0.208,0.0939,0,0.102,0.727,133.986,190537,FALSE,"Top Hits of 2019"
"148","Giant (with Rag'n'Bone Man)",75,0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,229184,FALSE,"Top Hits of 2019"
"149","Light On",71,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054,233880,FALSE,"Top Hits of 2019"
"150","Keisha & Becky - Remix",67,0.863,0.471,6,-9.545,1,0.478,0.251,0,0.121,0.644,140.969,252906,TRUE,"Top Hits of 2019"
"151","God's Plan",82,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,TRUE,"Top Hits of 2018"
"152","rockstar (feat. 21 Savage)",83,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218146,TRUE,"Top Hits of 2018"
"153","Perfect",85,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400,FALSE,"Top Hits of 2018"
"154","I Like Me Better",81,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,197436,FALSE,"Top Hits of 2018"
"155","Havana (feat. Young Thug)",80,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217306,FALSE,"Top Hits of 2018"
"156","Lucid Dreams",87,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239835,TRUE,"Top Hits of 2018"
"157","The Middle",80,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,FALSE,"Top Hits of 2018"
"158","FRIENDS",79,0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,202620,TRUE,"Top Hits of 2018"
"159","I Like It",80,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,TRUE,"Top Hits of 2018"
"160","Youngblood",73,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203417,FALSE,"Top Hits of 2018"
"161","no tears left to cry",79,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,FALSE,"Top Hits of 2018"
"162","2002",81,0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,186986,FALSE,"Top Hits of 2018"
"163","One Kiss (with Dua Lipa)",80,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214846,FALSE,"Top Hits of 2018"
"164","Eastside (with Halsey & Khalid)",77,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173799,FALSE,"Top Hits of 2018"
"165","Rewrite The Stars",73,0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,217440,FALSE,"Top Hits of 2018"
"166","Happier",83,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214289,FALSE,"Top Hits of 2018"
"167","lovely (with Khalid)",87,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200185,FALSE,"Top Hits of 2018"
"168","Back To You",69,0.6,0.683,6,-6.271,1,0.0493,0.0984,1.26e-06,0.11,0.494,102.036,210240,FALSE,"Top Hits of 2018"
"169","Better Now",81,0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,231266,TRUE,"Top Hits of 2018"
"170","God is a woman",79,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,197546,TRUE,"Top Hits of 2018"
"171","Let You Down",81,0.662,0.714,5,-5.68,0,0.121,0.312,0,0.179,0.464,147.997,212120,FALSE,"Top Hits of 2018"
"172","Let Me Go (with Alesso, Florida Georgia Line & watt)",76,0.664,0.708,8,-4.154,1,0.0474,0.0337,0,0.0841,0.742,103.07,174800,FALSE,"Top Hits of 2018"
"173","IDGAF",78,0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,217946,TRUE,"Top Hits of 2018"
"174","Freaky Friday (feat. Chris Brown)",73,0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,216631,TRUE,"Top Hits of 2018"
"175","Silence",80,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180822,FALSE,"Top Hits of 2018"
