"","danceability","energy","loudness","mode","speechiness","instrumentalness","valence","tempo","track.duration_ms","track.explicit","track.popularity","track.name","key_name","track.album.release_date","mode_name","key_mode"
"81",0.704,0.706,-5.233,0,0.111,0,0.856,92.965,195044,FALSE,52,"Sola","B","2018-11-09","minor","B minor"
"82",0.842,0.801,-4.167,0,0.228,4.82e-06,0.617,95.881,212500,TRUE,69,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","G#","2019-07-25","minor","G# minor"
"83",0.639,0.791,-4.443,0,0.253,0,0.939,92.603,222346,FALSE,76,"QUE PRETENDES","A#","2019-06-28","minor","A# minor"
"84",0.83,0.159,-14.461,1,0.0383,2.02e-05,0.189,104.95,207400,TRUE,75,"Fuentes de Ortiz","C#","2018-03-02","major","C# major"
"85",0.796,0.911,-1.998,1,0.285,0,0.918,180.128,204630,FALSE,68,"Rebota","C#","2018-12-14","major","C# major"
"86",0.799,0.676,-5.644,1,0.169,0.000777,0.91,104.956,175200,FALSE,64,"Ni Gucci Ni Prada","D","2018-09-14","major","D major"
"87",0.79,0.631,-5.549,0,0.0425,0,0.889,94.039,190004,FALSE,70,"Amanece","G#","2018-12-14","minor","G# minor"
"88",0.731,0.832,-2.592,1,0.0503,0,0.94,146.013,178613,FALSE,75,"Tutu","A","2019-08-09","major","A major"
"89",0.8,0.74,-4.52,0,0.0479,0,0.775,90.035,226200,FALSE,72,"Aullando","A#","2018-12-14","minor","A# minor"
"90",0.745,0.972,-3.506,1,0.0774,0.465,0.556,128.031,189817,FALSE,75,"Baila Conmigo (feat. Kelly Ruiz)","G","2018-12-28","major","G major"
